daily_energy_kwh,budget_million_xaf,avg_cost,lifespan,install_type,label
8.116262258099887,0.3591861003740675,204682.2734943624,15,1,tubular
19.063571821788408,0.8586613263297014,198791.51962879993,5,1,li-ion
14.907884894416696,1.3221241702269717,462501.8322084147,5,0,li-ion
12.374511199743695,1.1251148409733858,199818.47993980243,20,0,li-ion
3.964354168406294,1.2291856070060296,208779.8904514524,15,0,tubular
3.96389588638785,1.0222967133950043,403759.3049671855,10,0,tubular
2.1035886311957896,1.0691871903249934,279895.936980216,20,1,tubular
17.457346769723767,1.288873912191447,410684.2227820725,15,0,li-ion
12.421185223120967,0.4495352124028603,126146.4630257541,15,1,tubular
14.453378978124864,0.7851949491003966,295028.4774693537,10,0,li-ion
1.3911053916202465,0.4096932185474431,113445.44007331305,20,0,tubular
19.428287191077892,1.4827352111953058,125061.28138214181,15,0,li-ion
16.816410175208013,1.4216830755612586,462574.98133776436,15,0,li-ion
5.034443102887247,0.15519753591590826,155698.14844703808,15,0,tubular
4.4546743769349115,1.087805241521964,312968.27291008685,10,1,tubular
4.484685687215243,1.3953476443819322,264438.24104028265,20,0,tubular
6.780602616231217,0.352805483178267,238937.33050353706,20,0,tubular
10.97037220101252,0.8951233227736812,459933.338274909,20,0,li-ion
9.206955354200199,1.3816836166232587,108729.3587101958,20,1,tubular
6.533353663762797,0.14752437002011837,365515.87447023566,5,1,tubular
12.62520499972521,1.0763883741455758,485357.77368542016,5,1,li-ion
3.6503833523887947,0.516288610321571,324067.27338473673,20,1,tubular
6.550748322169145,1.3941546735271426,474728.98481323675,10,0,tubular
7.960875022580142,1.459481543231515,120903.15171440951,5,0,tubular
9.665329700123683,1.4219730847588075,267517.32762966456,15,0,tubular
15.918343266467259,0.7638999033204492,204063.11638482046,5,1,li-ion
4.793801861008835,1.3068597113850389,392328.3859922919,15,0,tubular
10.770454329858621,1.2823691579490986,492518.8361988987,20,0,li-ion
12.255876808378806,0.5467406625405579,202612.02497769913,5,1,li-ion
1.8825578416799567,1.2604816638109484,361669.8405896298,10,1,tubular
12.54335218612733,0.15181068860168967,179239.05310389603,5,1,tubular
4.239958350058539,0.9347778298748742,326132.10182864394,5,0,tubular
2.235980266720311,0.4220123722027842,285572.9946753345,5,0,tubular
19.02882520781333,0.2687936400881903,488802.1318526148,20,1,tubular
19.347008628416628,0.2077344822808928,343410.9090785866,10,0,tubular
16.35954961421276,1.0748042862293956,239802.54883472752,5,1,li-ion
6.787661614294043,0.5758249492752926,145638.31395517336,10,1,tubular
2.8557701661212933,1.114673480140266,160498.7314939738,20,0,tubular
14.00042750373098,0.19149887711851932,190126.77198049403,15,1,tubular
9.362897381052425,0.5414064729628545,200386.6645361192,5,1,tubular
3.3187264620507975,0.855287809325472,440246.4231364551,10,1,tubular
10.408361292114133,1.207012430774549,324489.11531300994,10,0,li-ion
1.6533819011891495,0.5462535041048978,309356.36454974656,20,1,tubular
18.27708763949686,0.9762479270118126,145907.548747687,5,1,li-ion
5.916819650400321,1.340368847530662,444055.877339774,15,1,tubular
13.587923402725657,0.9622084634552264,389125.7212833935,10,1,li-ion
6.9225104456988085,0.42614326465508723,127067.34476000063,5,1,tubular
10.881292402378406,0.13416109417915323,383134.0388919075,15,1,tubular
11.387495307522313,1.3181384234613018,317415.28693705844,10,1,li-ion
4.512234654985013,0.129777175190542,132690.1382987113,10,0,tubular
19.422107927526614,1.3245823417578793,283320.25661146257,15,0,li-ion
15.727523643861176,0.8405119876380968,293878.5148520188,15,1,li-ion
18.850479889719594,1.4146947779180548,166309.8160653103,20,0,li-ion
18.001719658125328,1.2182965300831317,478279.25880011293,5,0,li-ion
12.360099597410617,1.4971077547466725,439990.1485922648,5,1,li-ion
18.51561046543922,0.5909965416323942,367608.9349316433,20,0,li-ion
2.6813575389864703,1.1740636045035777,284918.2244002429,10,1,tubular
4.723674385963759,0.6627032790529389,264706.21663380344,15,1,tubular
1.8593184893002233,0.7718258684254723,360389.3868603817,15,1,tubular
